Year,Title,Authors,Link
2025,DarkBench: Benchmarking Dark Patterns in Large Language Models.,"Esben Kran, Jord Nguyen, Akash Kundu, Sami Jawhar, Jinsuk Park, Mateusz Maria Jurewicz",https://openreview.net/forum?id=odjMSBSWRt
2025,RM-Bench: Benchmarking Reward Models of Language Models with Subtlety and Style.,"Yantao Liu, Zijun Yao, Rui Min, Yixin Cao, Lei Hou, Juanzi Li",https://openreview.net/forum?id=QEHrmQPBdd
2025,TopoLM: brain-like spatio-functional organization in a topographic language model.,"Neil Rathi, Johannes Mehrer, Badr AlKhamissi, Taha Osama A Binhuraib, Nicholas M. Blauch, Martin Schrimpf",https://openreview.net/forum?id=aWXnKanInf
2025,Spider 2.0: Evaluating Language Models on Real-World Enterprise Text-to-SQL Workflows.,"Fangyu Lei, Jixuan Chen, Yuxiao Ye, Ruisheng Cao, Dongchan Shin, Hongjin Su, Zhaoqing Suo, Hongcheng Gao, Wenjing Hu, Pengcheng Yin, Victor Zhong, Caiming Xiong, Ruoxi Sun, Qian Liu, Sida Wang, Tao Yu",https://openreview.net/forum?id=XmProj9cPs
2025,Knowledge Entropy Decay during Language Model Pretraining Hinders New Knowledge Acquisition.,"Jiyeon Kim, Hyunji Lee, Hyowon Cho, Joel Jang, Hyeonbin Hwang, Seungpil Won, Youbin Ahn, Dohaeng Lee, Minjoon Seo",https://openreview.net/forum?id=eHehzSDUFp
2025,Diffusion-Based Planning for Autonomous Driving with Flexible Guidance.,"Yinan Zheng, Ruiming Liang, Kexin Zheng, Jinliang Zheng, Liyuan Mao, Jianxiong Li, Weihao Gu, Rui Ai, Shengbo Eben Li, Xianyuan Zhan, Jingjing Liu",https://openreview.net/forum?id=wM2sfVgMDH
2025,Learning to Search from Demonstration Sequences.,"Dixant Mittal, Liwei Kang, Wee Sun Lee",https://openreview.net/forum?id=v593OaNePQ
2025,Measuring and Enhancing Trustworthiness of LLMs in RAG through Grounded Attributions and Learning to Refuse.,"Maojia Song, Shang Hong Sim, Rishabh Bhardwaj, Hai Leong Chieu, Navonil Majumder, Soujanya Poria",https://openreview.net/forum?id=Iyrtb9EJBp
2025,MAP: Multi-Human-Value Alignment Palette.,"Xinran Wang, Qi Le, Ammar Ahmed, Enmao Diao, Yi Zhou, Nathalie Baracaldo, Jie Ding, Ali Anwar",https://openreview.net/forum?id=NN6QHwgRrQ
2025,Can Neural Networks Achieve Optimal Computational-statistical Tradeoff? An Analysis on Single-Index Model.,"Siyu Chen, Beining Wu, Miao Lu, Zhuoran Yang, Tianhao Wang",https://openreview.net/forum?id=is4nCVkSFA
2025,Consistency Checks for Language Model Forecasters.,"Daniel Paleka, Abhimanyu Pallavi Sudhir, Alejandro Alvarez, Vineeth Bhat, Adam Shen, Evan Wang, Florian Tramèr",https://openreview.net/forum?id=r5IXBlTCGc
2025,Spread Preference Annotation: Direct Preference Judgment for Efficient LLM Alignment.,"Dongyoung Kim, Kimin Lee, Jinwoo Shin, Jaehyung Kim",https://openreview.net/forum?id=BPgK5XW1Nb
2025,Brain Bandit: A Biologically Grounded Neural Network for Efficient Control of Exploration.,"Chen Jiang, Jiahui An, Yating Liu, Ni Ji",https://openreview.net/forum?id=RWJX5F5I9g
2025,MaestroMotif: Skill Design from Artificial Intelligence Feedback.,"Martin Klissarov, Mikael Henaff, Roberta Raileanu, Shagun Sodhani, Pascal Vincent, Amy Zhang, Pierre-Luc Bacon, Doina Precup, Marlos C. Machado, Pierluca D'Oro",https://openreview.net/forum?id=or8mMhmyRV
2025,Learning to Discover Regulatory Elements for Gene Expression Prediction.,"Xingyu Su, Haiyang Yu, Degui Zhi, Shuiwang Ji",https://openreview.net/forum?id=Mfnh1Sqdwf
2025,Block Diffusion: Interpolating Between Autoregressive and Diffusion Language Models.,"Marianne Arriola, Aaron Gokaslan, Justin T. Chiu, Zhihan Yang, Zhixuan Qi, Jiaqi Han, Subham Sekhar Sahoo, Volodymyr Kuleshov",https://openreview.net/forum?id=tyEyYT267x
2025,Syntactic and Semantic Control of Large Language Models via Sequential Monte Carlo.,"João Loula, Benjamin LeBrun, Li Du, Ben Lipkin, Clemente Pasti, Gabriel Grand, Tianyu Liu, Yahya Emara, Marjorie Freedman, Jason Eisner, Ryan Cotterell, Vikash Mansinghka, Alexander K. Lew, Tim Vieira, Timothy J. O'Donnell",https://openreview.net/forum?id=xoXn62FzD0
2025,Scaling Laws for Precision.,"Tanishq Kumar, Zachary Ankner, Benjamin Frederick Spector, Blake Bordelon, Niklas Muennighoff, Mansheej Paul, Cengiz Pehlevan, Christopher Ré, Aditi Raghunathan",https://openreview.net/forum?id=wg1PCg3CUP
2025,Context-Parametric Inversion: Why Instruction Finetuning May Not Actually Improve Context Reliance.,"Sachin Goyal, Christina Baek, J. Zico Kolter, Aditi Raghunathan",https://openreview.net/forum?id=SPS6HzVzyt
2025,Inference Scaling for Long-Context Retrieval Augmented Generation.,"Zhenrui Yue, Honglei Zhuang, Aijun Bai, Kai Hui, Rolf Jagerman, Hansi Zeng, Zhen Qin, Dong Wang, Xuanhui Wang, Michael Bendersky",https://openreview.net/forum?id=FSjIrOm1vz
2025,Scaling LLM Test-Time Compute Optimally Can be More Effective than Scaling Parameters for Reasoning.,"Charlie Victor Snell, Jaehoon Lee, Kelvin Xu, Aviral Kumar",https://openreview.net/forum?id=4FWAwZtd2n
2025,Capturing the Temporal Dependence of Training Data Influence.,"Jiachen T. Wang, Dawn Song, James Zou, Prateek Mittal, Ruoxi Jia",https://openreview.net/forum?id=uHLgDEgiS5
2025,Self-Improvement in Language Models: The Sharpening Mechanism.,"Audrey Huang, Adam Block, Dylan J. Foster, Dhruv Rohatgi, Cyril Zhang, Max Simchowitz, Jordan T. Ash, Akshay Krishnamurthy",https://openreview.net/forum?id=WJaUkwci9o
2025,Data Shapley in One Training Run.,"Jiachen T. Wang, Prateek Mittal, Dawn Song, Ruoxi Jia",https://openreview.net/forum?id=HD6bWcj87Y
2025,Computationally Efficient RL under Linear Bellman Completeness for Deterministic Dynamics.,"Runzhe Wu, Ayush Sekhari, Akshay Krishnamurthy, Wen Sun",https://openreview.net/forum?id=hyfe5q5TD0
2025,Linear Representations of Political Perspective Emerge in Large Language Models.,"Junsol Kim, James Evans, Aaron Schein",https://openreview.net/forum?id=rwqShzb9li
2025,Turning Up the Heat: Min-p Sampling for Creative and Coherent LLM Outputs.,"Nguyen Nhat Minh, Andrew Baker, Clement Neo, Allen G. Roush, Andreas Kirsch, Ravid Shwartz-Ziv",https://openreview.net/forum?id=FBkpCyujtS
2025,Joint Graph Rewiring and Feature Denoising via Spectral Resonance.,"Jonas Linkerhägner, Cheng Shi, Ivan Dokmanic",https://openreview.net/forum?id=zBbZ2vdLzH
2025,Iterative Nash Policy Optimization: Aligning LLMs with General Preferences via No-Regret Learning.,"Yuheng Zhang, Dian Yu, Baolin Peng, Linfeng Song, Ye Tian, Mingyue Huo, Nan Jiang, Haitao Mi, Dong Yu",https://openreview.net/forum?id=Pujt3ADZgI
