Year,Title,Authors,Link
2025,ResMoE: Space-efficient Compression of Mixture of Experts LLMs via Residual Restoration.,"Mengting Ai, Tianxin Wei, Yifan Chen, Zhichen Zeng, Ritchie Zhao, Girish Varatkar, Bita Darvish Rouhani, Xianfeng Tang, Hanghang Tong, Jingrui He",https://doi.org/10.1145/3690624.3709196
2025,Hypergraph Motif Representation Learning.,"Alessia Antelmi, Gennaro Cordasco, Daniele De Vinco, Valerio Di Pasquale, Mirko Polato, Carmine Spagnuolo",https://doi.org/10.1145/3690624.3709274
2025,Chainlet Orbits: Topological Address Embedding for Blockchain.,"Poupak Azad, Baris Coskunuzer, Murat Kantarcioglu, Cuneyt Gurcan Akcora",https://doi.org/10.1145/3690624.3709322
2025,Correlation-Aware Graph Convolutional Networks for Multi-Label Node Classification.,"Yuanchen Bei, Weizhi Chen, Hao Chen, Sheng Zhou, Carl Ji Yang, Jiapei Fan, Longtao Huang, Jiajun Bu",https://doi.org/10.1145/3690624.3709197
2025,Fast and Effective GNN Training through Sequences of Random Path Graphs.,"Francesco Bonchi, Claudio Gentile, Francesco Paolo Nerini, André Panisson, Fabio Vitale",https://doi.org/10.1145/3690624.3709301
2025,How to use Graph Data in the Wild to Help Graph Anomaly Detection?,"Yuxuan Cao, Jiarong Xu, Chen Zhao, Jiaan Wang, Carl Ji Yang, Chunping Wang, Yang Yang",https://doi.org/10.1145/3690624.3709320
2025,Safe Online Bid Optimization with Return on Investment and Budget Constraints.,"Matteo Castiglioni, Alessandro Nuara, Giulia Romano, Giorgio Spadaro, Francesco Trovò, Nicola Gatti",https://doi.org/10.1145/3690624.3709288
2025,Probabilistic Hypergraph Recurrent Neural Networks for Time-series Forecasting.,"Hongjie Chen, Ryan A. Rossi, Sungchul Kim, Kanak Mahadik, Hoda Eldardiry",https://doi.org/10.1145/3690624.3709202
2025,NodeImport: Imbalanced Node Classification with Node Importance Assessment.,"Nan Chen, Zemin Liu, Bryan Hooi, Bingsheng He, Jun Hu, Jia Chen",https://doi.org/10.1145/3690624.3709215
2025,Advancing Confidence Calibration and Quantification in Medication Recommendation.,"Qianyu Chen, Xin Li, Yujie Fang, Mingzhong Wang",https://doi.org/10.1145/3690624.3709232
2025,Locally Balancing Signed Graphs.,"Weizhe Chen, Wentao Li, Min Gao, Dong Wen, Maolin Cai, Wei Wang",https://doi.org/10.1145/3690624.3709342
